iso_code,country,energy_metric,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2030_target
AUS,Australia,coal_electricity,180.26,179.88,171.86,173.61,178.96,182.98,185.76,185.49,184.24,182.02,176.02,171.98,165.38,155.45,155.23,162.2,162.36,159.17,156.56,149.84,142.93,137.4,129.21,125.61,127.33,133.103,130.782,128.462,126.141,123.821,121.5,40.7
AUS,Australia,gas_electricity,16.76,24.5,30.55,30.15,27.36,23.26,27.29,33.4,36.31,41.12,46.79,48.78,49.81,52.72,53.66,49.71,48.11,55.09,51.46,55.71,53.05,47.63,50.82,46.67,49.1,59.68,61.041,62.401,63.762,65.122,66.483,5.5
AUT,Austria,hydro_capacity_gw,11.61,11.64,11.5,11.54,11.58,11.8,11.83,11.99,12.44,12.63,12.89,13.18,13.31,13.38,13.53,13.65,14.12,14.15,14.52,14.6,14.63,14.75,14.92,14.95,15.07,14.864,14.864,14.864,14.864,14.864,14.864,14.97
AUT,Austria,solar_capacity_gw,0.0,0.01,0.01,0.02,0.03,0.02,0.03,0.03,0.03,0.05,0.09,0.18,0.34,0.63,0.79,0.94,1.1,1.27,1.46,1.7,2.04,2.77,3.76,6.33,8.48,8.369,9.513,10.657,11.801,12.946,14.09,12.5
AUT,Austria,wind_capacity_gw,0.05,0.07,0.11,0.32,0.58,0.83,0.97,0.99,0.99,1.0,1.02,1.11,1.34,1.67,2.11,2.49,2.73,2.89,3.13,3.22,3.23,3.42,3.63,3.9,4.04,4.151,4.312,4.472,4.632,4.793,4.953,7.3
AUT,Austria,biofuel_capacity_gw,0.81,0.8,0.79,0.99,0.99,1.6,1.83,2.08,2.11,2.18,2.18,2.25,1.67,1.51,1.41,1.4,1.39,1.29,1.27,1.25,1.25,1.17,1.2,1.23,1.28,1.446,1.447,1.448,1.448,1.449,1.45,0.93
AUT,Austria,hydro_share_elec,73.391,69.903,69.578,60.558,62.859,60.74,60.75,62.092,62.59,64.633,59.695,58.251,67.018,68.481,70.151,63.849,64.876,60.091,60.916,60.525,63.704,61.149,56.52,59.844,60.543,55.383,54.137,52.946,51.806,50.714,49.667,47.96
AUT,Austria,solar_share_elec,0.0,0.017,0.017,0.018,0.034,0.033,0.034,0.034,0.049,0.079,0.14,0.289,0.52,1.027,1.351,1.615,1.785,1.993,2.363,2.52,3.094,4.387,6.186,10.138,10.781,11.562,12.844,14.069,15.241,16.363,17.44,19.39
AUT,Austria,wind_share_elec,0.123,0.173,0.242,0.675,1.59,2.177,2.981,3.419,3.282,3.082,3.206,3.3,3.76,5.134,6.586,8.316,8.489,10.311,9.759,11.044,10.299,10.636,11.833,12.272,12.503,12.649,12.962,13.261,13.547,13.821,14.084,19.39
AUT,Austria,biofuel_share_elec,2.684,2.885,2.629,3.009,3.266,3.978,5.503,6.804,6.793,6.764,6.972,7.758,7.153,7.66,7.783,7.99,7.758,7.721,7.979,6.908,6.962,7.07,7.753,6.71,6.185,7.799,7.812,7.825,7.837,7.848,7.859,6.12
AUT,Austria,gas_share_elec,13.77,15.117,16.102,20.35,18.724,21.333,18.177,16.591,18.256,19.501,22.331,21.164,14.84,10.838,9.1,13.162,13.78,17.122,16.054,16.78,15.092,16.759,17.709,11.036,9.987,12.606,12.245,11.9,11.57,11.253,10.95,7.14
AUT,Austria,fossil_share_elec,23.803,27.021,27.534,35.74,32.25,33.071,30.733,27.652,27.286,25.442,29.988,30.401,21.55,17.699,14.129,18.23,17.091,19.884,18.984,19.004,15.941,16.759,17.709,11.036,9.987,12.606,12.245,11.9,11.57,11.253,10.95,6.2
AUT,Austria,hydro_electricity,41.84,40.46,40.23,33.21,36.76,37.1,35.66,37.05,38.33,40.9,38.36,34.24,43.85,42.02,41.01,37.16,39.97,38.29,37.64,40.83,42.0,38.75,34.63,40.67,45.71,40.352,40.352,40.352,40.352,40.352,40.352,47.0
AUT,Austria,solar_electricity,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.05,0.09,0.17,0.34,0.63,0.79,0.94,1.1,1.27,1.46,1.7,2.04,2.78,3.79,6.89,8.14,8.424,9.573,10.722,11.871,13.02,14.169,19.0
AUT,Austria,wind_electricity,0.07,0.1,0.14,0.37,0.93,1.33,1.75,2.04,2.01,1.95,2.06,1.94,2.46,3.15,3.85,4.84,5.23,6.57,6.03,7.45,6.79,6.74,7.25,8.34,9.44,9.216,9.661,10.106,10.552,10.997,11.442,19.0
AUT,Austria,biofuel_electricity,1.53,1.67,1.52,1.65,1.91,2.43,3.23,4.06,4.16,4.28,4.48,4.56,4.68,4.7,4.55,4.65,4.78,4.92,4.93,4.66,4.59,4.48,4.75,4.56,4.67,5.683,5.823,5.964,6.104,6.245,6.385,6.0
AUT,Austria,gas_electricity,7.85,8.75,9.31,11.16,10.95,13.03,10.67,9.9,11.18,12.34,14.35,12.44,9.71,6.65,5.32,7.66,8.49,10.91,9.92,11.32,9.95,10.62,10.85,7.5,7.54,9.185,9.127,9.069,9.012,8.954,8.896,7.0
AUT,Austria,fossil_electricity,13.57,15.64,15.92,19.6,18.86,20.2,18.04,16.5,16.71,16.1,19.27,17.87,14.1,10.86,8.26,10.61,10.53,12.67,11.73,12.82,10.51,10.62,10.85,7.5,7.54,9.185,9.127,9.069,9.012,8.954,8.896,6.0
BGD,Bangladesh,hydro_capacity_gw,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.4
BGD,Bangladesh,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.09,0.11,0.14,0.17,0.2,0.17,0.22,0.24,0.28,0.34,0.51,0.52,0.75,0.85,0.92,1.025,1.131,1.236,1.341,1.447,3.0
BGD,Bangladesh,wind_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.034,0.041,0.047,0.054,0.06,0.066,1.1
BGD,Bangladesh,nuclear_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
BGD,Bangladesh,coal_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.22,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.52,0.52,1.77,1.77,2.69,5.99,7.18,3.071,3.236,3.401,3.565,3.73,3.895,10.6
BGD,Bangladesh,gas_capacity_gw,3.43,3.66,3.98,3.98,4.29,4.54,4.25,4.25,4.54,4.82,4.86,5.42,5.73,6.02,6.78,7.63,8.81,8.93,10.48,10.68,11.25,11.33,11.52,11.69,12.41,12.282,12.687,13.092,13.498,13.903,14.309,25.4
BGD,Bangladesh,solar_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.068,0.061,0.084,0.178,0.15,0.211,0.279,0.334,0.403,0.381,0.416,0.493,0.522,0.611,0.798,1.138,1.27,1.49,1.66,1.801,1.932,2.055,2.169,2.276,5.0
BGD,Bangladesh,wind_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.017,0.017,0.016,0.014,0.013,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BGD,Bangladesh,nuclear_share_elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
BGD,Bangladesh,coal_share_elec,0.0,0.0,0.0,0.0,0.0,0.629,0.982,2.521,3.355,3.06,1.955,2.073,2.205,2.637,2.299,2.015,1.785,1.713,2.848,1.835,4.184,6.932,7.405,12.685,24.074,8.958,9.091,9.215,9.33,9.438,9.539,19.0
BGD,Bangladesh,gas_share_elec,93.7,93.954,94.064,94.023,94.89,94.337,94.144,94.889,93.718,95.62,95.937,95.478,95.66,95.07,96.07,96.372,96.067,96.141,94.925,96.486,94.155,91.303,90.515,85.274,73.503,88.529,88.286,88.06,87.848,87.651,87.466,52.0
BEL,Belgium,hydro_capacity_gw,0.1,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.12,0.12,0.13,0.118,0.118,0.118,0.118,0.118,0.118,0.15
BEL,Belgium,solar_capacity_gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.39,0.84,1.86,2.6,2.86,2.98,3.11,3.29,3.6,3.96,4.52,5.45,5.93,6.78,8.35,9.75,10.157,11.099,12.04,12.981,13.923,14.864,11.6
BEL,Belgium,wind_capacity_gw,0.01,0.03,0.03,0.07,0.1,0.17,0.21,0.28,0.32,0.61,0.9,1.07,1.37,1.77,1.93,2.18,2.33,2.78,3.3,3.86,4.67,4.95,5.3,5.45,5.6,6.263,6.645,7.028,7.41,7.793,8.175,11.1
BEL,Belgium,biofuel_capacity_gw,0.12,0.14,0.16,0.23,0.25,0.51,0.56,0.58,0.7,0.91,1.02,1.03,0.99,0.96,0.91,0.94,0.92,0.91,0.89,0.91,0.92,0.82,0.87,0.84,0.8,1.123,1.154,1.186,1.217,1.248,1.28,0.9
